DUID,regime,q,norm,ratio,lo,hi,price,plo,phi,n_mth
TORRB4,UN,0.2,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.8,-999.4,34
TORRB4,UP,0.2,MAXAVAIL,121.358051966162,0.1,140.277935097759,15490.7,-999.4,16595.02,33
TORRB4,DP,0.2,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.2,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.7,-999.4,31
BARKIPS1,UN,0.25,MAXAVAIL,120.638158714339,3.40321182666313,155.666197249198,12994.1,455.305,16600,35
DRYCGT1,UN,0.25,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.25,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.25,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.25,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.25,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.7,-998.3,34
PPCCGT,UP,0.25,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.25,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.25,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.8,-557.17,30
TORRB2,UP,0.25,MAXAVAIL,121.358051966162,56.5844275295457,140.277935097759,15490.7,15098.49,16595.02,30
TORRB3,UN,0.25,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.775,-999.4,34
TORRB3,UP,0.25,MAXAVAIL,121.358051966162,63.1163422250146,140.277935097759,15490.7,15098.49,16595.02,34
TORRB3,DN,0.25,MAXAVAIL,56.5844275295457,0.1,131.305536950814,15098.49,-999.55,16595.02,31
TORRB3,DP,0.25,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.25,MAXAVAIL,0.1,0.1,2.65366483305377,-999.4,-999.7,324.33,34
TORRB4,UP,0.25,MAXAVAIL,121.358051966162,50.4613497588642,140.277935097759,15490.7,12918.63,16595.02,33
TORRB4,DP,0.25,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.25,MAXAVAIL,1.94351696097243,0.530231690165662,127.537594670049,348.8,-411.76,16595.02,31
BARKIPS1,UN,0.3,MAXAVAIL,120.638158714339,3.76231179965502,155.666197249198,12994.1,560.76,16600,35
DRYCGT1,UN,0.3,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.3,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.3,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.3,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.3,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
PPCCGT,UP,0.3,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.3,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.3,MAXAVAIL,0.1,0.1,0.308899617771018,-999.7,-999.8,-102.44,30
TORRB2,UP,0.3,MAXAVAIL,121.358051966162,56.5844275295457,140.277935097759,15490.7,15098.49,16595.02,30
TORRB3,UN,0.3,MAXAVAIL,0.1,0.1,0.1,-999.7,-999.775,-999.4,34
TORRB3,UP,0.3,MAXAVAIL,121.358051966162,63.1163422250146,140.277935097759,15490.7,15098.49,16595.02,34
TORRB3,DN,0.3,MAXAVAIL,56.5844275295457,0.1,131.305536950814,15098.49,-999.55,16595.02,31
TORRB3,DP,0.3,MAXAVAIL,127.537594670049,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.3,MAXAVAIL,0.1,0.1,2.65366483305377,-999.4,-999.7,324.33,34
TORRB4,UP,0.3,MAXAVAIL,121.358051966162,50.4613497588642,140.277935097759,15490.7,12918.63,16595.02,33
TORRB4,DP,0.3,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.3,MAXAVAIL,1.94351696097243,0.530231690165662,127.537594670049,348.8,-411.76,16595.02,31
BARKIPS1,UN,0.35,MAXAVAIL,120.638158714339,3.76231179965502,155.666197249198,15095.47,560.76,16600,35
DRYCGT1,UN,0.35,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.35,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.35,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.35,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.35,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
PPCCGT,UP,0.35,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.35,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.35,MAXAVAIL,1.70714330172817,1.25951166930451,108.258010346,298.475,214.86125,14846.7125,30
TORRB2,UP,0.35,MAXAVAIL,127.537594670049,82.7120863114212,144.12651888119,16042.86,15490.7,16595.02,30
TORRB3,UN,0.35,MAXAVAIL,3.18117015837537,1.17352885654242,121.358051966162,377.79,182.1975,16595.02,34
TORRB3,UP,0.35,MAXAVAIL,121.358051966162,82.7120863114212,140.277935097759,15490.7,15490.7,16595.02,34
TORRB3,DN,0.35,MAXAVAIL,121.358051966162,23.4044859860306,140.277935097759,15490.7,6737.675,16595.02,31
